premise,hypothesis,label
Seekor anak anjing dengan telinga besar mengunyah tongkat.,Seekor kuda makan jerami,2
"Anak-anak di kelas sibuk bekerja, menulis, dan mengerjakan proyek seni.",Kelas tersebut adalah kelas seni.,1
Dua anak bermain di air kolam di atas tanah.,Anak-anak saling memercik di kolam.,1
Seorang pria dan dua gadis memamerkan seekor ikan sambil memegang alat pancing di depan badan air.,Teman pamer,1
Anak laki-laki bermain di semprotan air luar ruangan.,Anak laki-laki bermain di luar ruangan.,0
Seorang anak laki-laki dengan celana pendek dan kaos berlari di lapangan rumput menuju beberapa pohon.,Ada pohon di luar.,0
"Seorang laki-laki berbaju hitam, dan bercelana hitam, sedang mengerjakan mesin sebuah mobil antik tua berwarna hijau, dengan tabung gas berwarna kuning tergeletak di rerumputan.",Seorang pria sedang bekerja di kebunnya.,2
Seorang pria dengan pakaian serba hitam di atas panggung membacakan sesuatu dari selembar kertas ke mikrofon ke penonton.,Pria itu sedang mencoba peran MacBeth di teater komunitas lokalnya.,1
Greyhound balap meninggalkan gerbang awal.,Bull dog sedang berlomba.,2
Keluarga berkumpul untuk melihat telur Paskah raksasa yang terbuat dari mawar warna-warni.,Mawar memiliki batang yang panjang,1
Seorang pria berbaju merah dan berjeans menari dengan seorang wanita berbaju biru putih di jalan.,Seorang pria sedang breakdance di gym.,2
"Seorang anak laki-laki dari negara lain sedang difoto oleh seorang turis, dan dia tidak tahu harus berbuat apa.",Seseorang memotret seorang anak laki-laki.,0
"Dua orang di dapur dan mencuci piring di bak cuci, laki-laki menjemur dengan kain berwarna pelangi sementara perempuan mengawasi.",Sepasang suami istri sedang mengerjakan hidangan bersama,1
Seorang pedagang kaki lima sedang membaca koran sambil menunggu pelanggan.,Seorang pedagang kaki lima sedang bersiap-siap untuk bekerja seharian.,0
Seorang gadis berseragam bisbol biru tua melempar bola sementara dua pemain bisbol lainnya berlarian.,Seorang gadis berseragam bisbol biru melempar bola sementara dua pemain lainnya berlari,0
Seorang wanita berbikini merah melompat untuk memukul bola sambil bermain voli di pantai.,Seorang wanita melompat saat bermain bola voli.,0
Ibu dan anak duduk di sofa dengan sepatu lepas.,Seorang wanita dan putrinya duduk bersama di sofa.,0
Seorang ibu dan anak menikmati makan siang di sebuah restoran Meksiko.,Keluarga menonton Film,2
dua pengendara sepeda berbaju merah melewati bukit merah,Para pria sedang bersepeda di luar.,0
"Seorang pria dengan afro dan mengenakan kaos biru sedang memainkan permainan ""lempar kapak"" yang mengharuskannya melempar kapak kecil ke sasaran yang menyerupai kepala kemudi.",seorang pria bergoyang-goyang di bangkunya,2
Seorang pria dan seorang wanita melompat dari dermaga ke dalam air.,Seorang pria dan wanita sedang tidur.,2
Sekelompok orang Asia duduk dengan pakaian tradisional.,Sekelompok orang Amerika bermain sepak bola.,2
Seorang wanita yang mengenakan sepatu bot sedang bekerja di sebuah pabrik.,Seorang wanita bekerja di pabrik.,0
Seorang anak berbaju hijau sedang bermain di taman,Seorang anak meninggalkan taman.,2
Seorang wanita dengan celana pendek biru dan kemeja putih memegang raket tenis di lapangan tenis biru.,Wanita itu ada di lapangan tenis.,0
Seorang wanita dengan tank top mencari sesuatu di dompetnya.,Seorang wanita dengan jas hujan menutup ritsleting tasnya.,2
"Seorang snowboarder, mengenakan jaket biru dan celana hijau, meluncur menuruni bukit.",Snowboarder sedang menaiki lift ke puncak bukit.,2
Seorang anak laki-laki kecil berambut coklat yang mengenakan baju merah dan celana jeans biru sedang membawa sebuah truk berwarna hijau.,"Anak laki-laki itu hilang, dan menangis untuk ibunya.",1
"Seorang wanita dengan celana pendek dan sepatu kets, duduk di luar di sofa bersama dua anak kecil.",Seorang ibu dan anak-anak sedang menikmati udara segar.,1
Brunette muda berdiri di antara kawanan merpati.,Seseorang berdiri dengan merpati.,0
Seorang pria muda memegang gergaji besar.,Seorang pria memegang benda besar.,0
Seorang pria bertelanjang dada dengan jeans biru berlari ke dermaga menuju kamera.,Seorang pria bertelanjang dada membaca buku di sofa.,2
ini adalah vendor yang menjual sesuatu,Seorang pedagang menutup tokonya.,2
Seorang wanita berbaju biru berdiri di depan orang yang duduk ingin membeli pisang atau buah lainnya.,Wanita itu berdiri.,0
Dua pria perlu membaca petunjuk saat mencoba membangun sebuah objek.,Dua pria sedang membangun rumah bermain.,1
Sekelompok orang sedang bercakap-cakap sementara seorang pria berbaju putih mencatat.,orang-orang bernyanyi,2
Seorang anak menggigit makanan yang dipanggang.,anak itu senang,1
Dua pekerja berbaju biru dan sepatu bot hitam sedang membersihkan tumpukan sampah di jalanan.,Para pekerja sedang makan di dalam restoran.,2
Pasangan menari di pesta pernikahan.,pasangan pengantin menari,0
"Seorang wanita muda mengenakan tank top oranye pendek, bawahan biru pendek dan sepatu atletik merah muda dengan label nama besar di depannya yang bertuliskan ""SARAH"" sedang berlari di jalan melewati penonton dan dua toilet portabel.",Wanita muda itu berada di luar ruangan.,0
Seorang gadis berbaju hitam sedang menonton reaksi kimia.,Seorang gadis mengenakan kemeja kuning,2
Pekerja staf mengoperasikan mesin kasir untuk pelanggan yang membeli soda.,Pekerja staf membersihkan lantai.,2
"Pria berjaket coklat dengan janggut dan topi bisbol, merokok.",Seseorang merokok saat istirahat.,1
Seorang pria yang berdiri di sebuah gedung aneh sedang melihat ke luar jendela ke arah air.,Seorang pria berdiri di lapangan.,2
Seorang guru di depan papan tulis kecil membuka buku untuk kelas anak-anak kecil.,Seorang guru berdiri di depan kelasnya.,0
Orang-orang berjalan di sepanjang trotoar kota yang terang benderang.,sekelompok teman duduk di taman,2
Seorang wanita berbaju biru membacakan buku untuk seorang anak laki-laki.,Seorang ibu bernyanyi untuk anaknya.,2
Dua gadis mengenakan ransel berdiri di depan meja dengan seorang wanita mengenakan jas.,Dua gadis sedang berdiri,1
Sebuah marching band berbaris melalui kota selama parade.,Marching band berbaris di parade mangkuk mawar.,1
Seorang ayah dan anak sedang memberi makan burung-burung di musim semi.,Seorang ayah dan anak laki-laki sedang menonton film di ruang tamu di sofa.,2
Dua pria sedang mengerjakan perancah.,Orang-orang di perancah sedang membersihkan jendela.,1
Seekor anjing hitam dan coklat memiliki tali di mulutnya.,Anak anjing itu sedang mengunyah tali.,1
Anak laki-laki dengan celana pendek hitam meluncur di permukaan hitam yang tertutup air dengan pepohonan hijau di latar belakang.,Anak laki-laki itu sedang bermain di luar.,0
Empat anak sedang bermain ayunan.,Anak-anak sedang bermain.,0
Dua pria keluar pada hari yang cerah dan cerah mencoba menangkap ikan di danau.,Dua pria sedang memancing di danau.,0
Dua gadis mengenakan pakaian renang.,Ada dua gadis dengan pakaian renang,0
Orang kulit hitam ada di toko kelontong untuk mendapatkan makanan di sana.,Orang-orang berbelanja di sini setiap minggu.,1
Empat anak yang membawa ransel berbalik menghadap kamera dan tersenyum saat mereka berjalan menyusuri jalan desa.,Manusia jangkung berjalan,2
Seorang pria menunggu di penyeberangan sambil memegang helm sepeda motor.,Pria itu sedang dalam perjalanan untuk bekerja.,1
Seekor anjing putih kecil dan anjing besar berwarna coklat bermain di rerumputan.,dua anjing sedang bermain di lapangan,0
Di atas panggung seorang pria dengan mikrofon dan seorang pria dengan saksofon tampil.,Ada sekelompok orang di konser metal.,2
Orang-orang di gimnasium menari dalam sebuah kontes.,Orang-orang di gimnasium menari.,0
Seorang pria sedang menyapu jalan di depan pohon.,Seorang pria menangisi cinta yang hilang.,1
Anak-anak bertingkah konyol saat mereka berdiri di pantai dengan pasir basah.,anak-anak merokok di selokan,2
Seekor anjing sedang menggoyangkan tubuhnya sampai kering di pantai di sebelah laut.,Seekor anjing di luar ruangan.,0
Orang-orang berdiri di dekat seorang pria dengan wajah dicat.,Pria itu lari dari orang gila dengan cat di wajahnya.,2
Dua bayi sedang bermain di halaman.,Bayi menikmati piknik di dapur.,2
Seorang wanita di lapangan berumput meniup dandelion.,Seorang wanita berdiri di lapangan.,0
"Sebuah keluarga duduk-duduk saat Natal, beberapa bermain Jenga sementara yang lain bermain dengan anak-anak.",Beberapa orang sedang bermain Jenga.,0
Dua pria botak di bangku taman memakai kerucut lalu lintas kuning kecil.,Dua pria sedang beristirahat di luar.,0
Dua pejalan kaki yang mengenakan pakaian gelap beristirahat di puncak yang tertutup salju.,Dua pejalan kaki di gunung.,0
Dua pria tidur di kursi belakang mobil.,Pria tidur di kursi belakang mobil.,0
Seorang wanita bercelana jeans hitam dan berbikini mengangkat tangannya ke udara saat berada di pantai.,Tidak ada yang punya jeans.,2
Seorang wanita dengan tank top biru mengendarai sepeda.,Wanita itu mengendarai sepedanya pulang.,1
Orang-orang ini terlihat seperti sedang memainkan semacam permainan di taman.,orang-orang berada di dalam rumah,2
Foto aksi tembakan ke gawang pemain sepak bola berseragam merah dan hitam.,seorang pemain hoki membuat hattrick pertamanya,2
Seorang ibu membantu putranya mengerjakan PR di dalam gubuk mereka,Ibunya miskin.,1
Kerumunan anak-anak.,Sekelompok pria.,2
Sebuah pesawat merah terbang di atas perahu saat mengepulkan asap merah muda.,Sebuah pesawat terbang melayang di atas kapal dan mengeluarkan aliran asap merah muda.,0
Sekelompok orang dengan pakaian warna-warni berjalan menyusuri jalan memainkan alat musik buatan sendiri.,orang-orangnya adalah badut,1
Dua anak laki-laki bercelana pendek sedang mencari sesuatu.,Dua anak laki-laki mencari sebuah benda.,0
Dua pria bermain gitar di tv.,Ada dua orang dalam gambar ini yang sedang bermain game.,0
Pegolf mengayunkan bola saat penonton menonton.,Bola mendarat di perangkap pasir.,1
Seorang pria dan seorang anak laki-laki berenang di kolam renang.,Seorang pria sedih dan anak kecil berenang di kolam renang.,1
Seorang anak laki-laki berbaju hijau mengenakan baju zirah biru menatap seekor anjing putih dengan baju zirah merah sambil berjalan-jalan.,Seorang anak laki-laki berlari dengan bebas melalui toko hewan peliharaan sementara seekor anjing mengawasi.,2
Ini adalah bayi mungil yang mengenakan onesie.,Seorang pria besar mengenakan tuksedo.,2
Dua gadis berambut ungu dan seorang wanita berambut pendek sedang tersenyum.,Betina semua tersenyum.,0
Seorang anak melompat dari seluncuran ke dalam kolam.,Seorang anak melompat ke kolam sedalam 6 kaki.,1
Awak kereta api bekerja di gerbong kereta dengan rompi keselamatan oranye dan topi keras kuning.,Orang naik kereta melalui kota.,2
Seorang pria membawa kotak ke dalam wadah penyimpanan.,Seorang pria membawa kotak berat.,1
Seorang wanita muda sedang bermain gitar dan bernyanyi.,Kerumunan menikmati saat seorang wanita memainkan gitar,1
Seorang backpacker mendaki di dekat gunung bersalju.,Seorang backpacker sedang bersiap untuk mendaki gunung di dekatnya.,1
Seorang wanita berdiri di depan sebuah gedung saat orang lain menjalani hari mereka.,Seorang wanita sendirian di rumah,2
Seekor anjing melompat di udara di lapangan rumput.,Seekor anjing melompat untuk frisbee.,1
Dua pria berpose untuk foto di malam hari.,Beberapa pria berpose dalam kegelapan.,1
"Seorang wanita berbaju gelap berdiri menghadap, tetapi memalingkan muka dari jendela akuarium besar tempat dia bersandar, sementara seekor anjing laut berenang di sisi lain kaca.",Wanita itu pergi ke akuarium untuk melihat hiu.,1
Anjing coklat itu memakai kerah hitam.,Seekor binatang yang mengenakan kerah.,0
Seorang pria berjins dan berjaket pengaman kuning sedang mengerjakan batu bata di tanah.,gadis tidur di sofa,2
Seorang gadis kecil melompat dari papan loncat ke kolam.,Kolam renang memiliki papan loncat,0
Ide bisnis bertebaran di meja rapat.,Panitia perencanaan sedang mempersiapkan acara musim semi di seluruh kota.,1
Seorang wanita muda dengan sepatu hak tinggi dan rok denim pendek berdiri memegang ponsel di depan pagar pengaman di jalan perkotaan.,Seorang wanita muda dengan sepatu berhak tinggi dan rok denim pendek berdiri memegang ponsel,1
Kerumunan orang berjalan-jalan di jalan berjajar toko beraspal bata.,Mereka berada di luar ruangan.,1
Anak laki-laki memanjat tangga spiral yang dikelilingi oleh buku.,seorang anak laki-laki meluncur menuruni tangga spiral,2
Seorang wanita muda sedang mengerjakan apa yang tampak seperti tugas menggambar di mejanya.,Seorang wanita sedang makan kue keju.,2
seorang anak kecil mengendarai sepeda kecil,Si kecil sedang belajar naik sepeda.,1
Mereka berjalan di sekitar gunung.,Mereka bersenang-senang di luar ruangan.,1
Seekor anjing hitam melompat tinggi dari air.,Seekor anjing bergerak ke atas.,0
"Seorang pria berjalan di jalan di depan sebuah gedung dengan jendela besar, dengan pantulan dari sebuah mobil di bawah.",Seorang pria duduk di dalam ruangan menonton mobil lewat,2
orang berjalan berdiri di taman kota.,Taman yang dipenuhi orang berjalan dan orang berdiri di luar.,0
Seorang pria berdiri di belakang podium.,Pria itu ada di dalam sebuah gedung.,0
Seorang anak laki-laki melompat ke depan menuruni seluncuran air.,Anak laki-laki itu berada di dekat air.,0
Seorang wanita berpakaian putri duyung dengan bra kerang ungu melihat ke kiri.,Seorang manusia tinggi terlihat,1
Seorang wanita berkulit sawo matang dengan rambut hitam duduk di samping ember biru berisi bunga dan sebuah kotak sambil memegang beberapa bunga merah muda.,Wanita itu tersenyum.,1
Seorang pria sedang berjalan di sepanjang lapangan.,Seorang pria sedang berjalan dan memetik bunga dari ladang.,1
Seorang pria dengan kepala botak berdiri di jalan saat orang lain berjalan-jalan di sebuah acara.,Seorang pria duduk di tengah kolam beku.,2
Seorang wanita berambut abu-abu tanpa sepatu sedang duduk di atas selimut di bawah payung lavender di pinggir jalan.,Seorang wanita bertelanjang kaki sedang duduk di luar.,0
Seorang lelaki tua berbaju cokelat sedang duduk di samping lapangan tenis.,Kerumunan menonton pertandingan sepak bola.,2
Seorang pria yang mengenakan topi bisbol hitam menghadap ke belakang berada di depan sebuah iklan ikan haring asap.,Pria itu bersembunyi di bagasi mobil.,2
Bapak-bapak berkemeja hitam kuning sedang di atas panggung memainkan gitar.,Seorang pria memainkan Led Zeppelin dengan gitar.,1
Pemain lacrosse wanita berbaju biru hendak menangkap bola.,Seorang manusia bermain,0
"Seorang pria bertelanjang dada, mengenakan kacamata hitam dan celana pendek kuning membuat tanda hati ke arah kamera.",Seorang pria memberi isyarat ke arah fotografer.,0
Empat pria bermain musik bersama.,Empat pria bermain musik di taman.,1
Orang-orang menunggu di barisan restoran remang-remang dengan cahaya ungu.,Orang-orang sedang menunggu.,0
Dua gadis pirang muda yang bangga meringkuk ke manusia salju yang baru saja dibuat.,Dua gadis berada di iklim tropis.,2
Seorang wanita mengenakan kemeja kuning dan kacamata hitam.,Seorang gadis remaja mengenakan kemeja biru dan celana hijau.,2
Sepasang pengantin baru berpose untuk foto formal di depan air mancur yang indah.,Orang-orang mengenakan pakaian pernikahan.,0
Seorang wanita di dalam bus yang terlihat sangat tidak senang dan bus tersebut terlihat penuh sesak.,wanita itu sedang berjalan di jalan,2
Dua orang saling berhadapan dalam kerumunan.,Orang-orang berteriak.,1
Seorang wanita di sofa sedang menggendong seekor kucing.,Seorang wanita memegang anak kucing.,1
Sepasang suami istri berjalan di jalan sambil berpegangan tangan sementara seorang pria memainkan musik.,Sepasang suami istri sedang menari di jalan.,2
Seorang wanita mengenakan headset dan mikrofon berbicara di telepon dan berdiri di samping tiang lampu menunggu untuk menyeberang jalan.,Seorang wanita menunggu untuk menyeberang jalan dengan aman sambil mengobrol dengan headset dan mikrofon.,0
Sepasang pengantin berjalan menyusuri trotoar dengan tamu lain mengelilingi mereka.,pengantin berjalan,0
"Dua siswa berjalan menyusuri jalan, berpegangan tangan.",Ada anjing berbaring di karpet.,2
Seorang pria berambut abu-abu sedang memainkan akordeon di trotoar.,Pria berambut abu-abu itu sedang bermain basket dengan teman-temannya.,2
Seekor spaniel basah menyelesaikan lompatan.,Seekor anjing sedang melompat.,0
Beberapa orang berkeliaran di pusat acara.,orang-orang di pusat acara,0
Empat pasangan melakukan tarian rutin dengan kostum berwarna hijau dan putih.,Mereka menari dalam sebuah kontes.,1
Seorang pria mencoba menjual koran kepada orang-orang saat mereka lewat.,tali kejar kucing,2
3 pekerja konstruksi berdiri di tempat parkir dan melihat jauh dari sebuah lubang besar.,Tiga pekerja konstruksi saling menyapa di sebuah taman.,1
Seorang pria dengan kemeja merah dan kacamata memegang koran di sebuah gedung.,Pria itu tidak memiliki penglihatan yang sempurna.,0
Seorang pria sedang mengerjakan sepeda roda tiga ungu milik seorang gadis kecil.,Seorang pria sedang mengerjakan sepeda roda tiga putrinya.,1
Sekelompok anjing saling memandang sambil berdiri di salju.,Sekelompok anjing sedang bermain di luar di salju.,1
Seseorang yang mengenakan kemeja oranye dengan tas punggung sedang memandangi sebatang pohon hijau subur.,Orang itu sedang melihat beberapa pohon hijau subur.,0
Seorang wanita mengenakan jubah cetak sedang membaca buku.,Seorang wanita berjubah sedang membaca novel fantasi.,1
Seorang pria bekerja di kereta api di rel kereta api.,Seorang pria dengan bbq.,2
Seorang wanita tua yang mengenakan kemeja coklat memberikan presentasi.,Seorang wanita memberikan presentasi.,0
Seorang gadis muda berpose dengan trofinya di taman.,seorang anak laki-laki berpose,2
seorang wanita lewat dengan anaknya dan barang-barangnya di keranjang di punggungnya.,seorang wanita melakukan gerakan meroda di lorong,2
"Empat anak laki-laki di gimnasium, salah satunya berlatih gerakan kickboxing.",Tiga anak laki-laki sedang menunggu teman mereka menyelesaikan latihannya.,1
Tiga orang menghadiri sebuah acara.,Dua puluh orang pergi ke bioskop.,2
Anak laki-laki berbaju hijau besar membawa sekop biru berjalan menuju kamera dengan lautan di belakangnya.,Orang-orang lari dari gelombang yang sangat besar.,2
Seekor anjing hitam berjalan di sepanjang tepi rawa.,seekor anjing sedang berjalan,0
"Dua pria kulit putih paruh baya yang mengenakan kacamata hitam duduk di bawah sinar matahari, satu dengan kemeja hijau dan topi baseball biru, yang lain dengan kotak-kotak.",Kedua pria itu setengah baya.,0
"Sekelompok orang yang mengenakan sepatu salju, dan berpakaian untuk mendaki musim dingin, berdiri di depan sebuah bangunan yang terlihat seperti terbuat dari balok es.",Sekelompok orang sedang menikmati hangatnya sinar matahari di pantai.,2
Delapan orang berdiri di atas bukit di atas awan.,Beberapa orang berdiri di atas bukit di atas awan.,0
Seorang anak bermain skateboard di pinggiran kota.,Seorang anak mengendarai sepedanya pulang.,2
Seorang pria dan wanita berpakaian seperti malaikat membagikan brosur.,Beberapa orang berpakaian seperti malaikat membagikan selebaran untuk pawai Natal.,1
pria berjaket abu-abu mengawasi keluarga saat beribadah.,Keluarga itu religius.,0
Seorang pria muda dengan celana pendek kamuflase dan topi melompat ke udara di atas jembatan.,Seorang pria bersemangat untuk melakukan bungee jumping.,1
Orang-orang dengan payung berjalan melewati toko-toko di tengah hujan.,Orang-orang sedang memeriksa toko-toko saat mereka lewat,1
Dua pria berpura-pura gerobak luncur di dalam ruangan.,Orang-orang itu memanjat tebing.,2
Seorang pria dengan Speedo biru memegang kacamata renang.,Seorang pria setelah kompetisi renang,1
Seorang anak laki-laki sedang duduk di jalan basah yang tertutup lumpur.,Seorang anak laki-laki sedang duduk di luar.,0
"Seorang reporter dengan setelan garis-garis, mengajukan pertanyaan kepada seorang pria penting dalam setelan cokelat di lapangan basket, sementara juru kamera merekam interaksi tersebut.",Seorang reporter sedang mewawancarai seseorang.,0
"Dua pria, satu memakai topi, yang lain memperbaiki sepeda dikelilingi oleh banyak sepeda lain sementara kotak perkakas terbuka.",Dua pria sedang melakukan tugas di dekat sepeda.,0
Seorang anak kecil mengenakan jaket pelampung kuning dan membawa mainan pantai di kepalanya berjalan melintasi pantai berpasir.,Ada pohon palem di latar belakang.,1
Seorang pria bertelanjang dada di dekat dinding beton memegang pisau.,Dinding telah jatuh pada pria itu,2
Dua anak kecil tertarik dengan beberapa makanan di pasar.,Dua anak kecil tertarik dengan beberapa makanan di supermarket.,1
Sekelompok orang dengan bagasi berbaris di luar bandara.,Sekelompok orang berbaris.,0
Seorang pria dan dua anak kecil bersama-sama di kolam renang.,Seorang pria dan dua anak berada di kolam.,0
Seorang perenang dari Hungaria sedang berdiri di tepi kolam.,Seorang perenang berdiri di tepi kolam.,0
"Ada seorang perempuan dan laki-laki berbaju jingga, memainkan alat musik dengan lembaran kertas di depannya.",Dua wanita mengenakan kemeja hijau.,2
"Seorang pria memegang uang, berdiri di depan band jalanan dan toko.",Seorang pria memberikan uang band jalanan.,1
Seorang pria dengan pakaian tenis biru bersiap untuk memukul bola tenis.,Pria bermain tenis.,0
"Di meja makan, seorang remaja laki-laki mengenakan bunga di kepalanya.",Remaja itu ada di meja.,0
Tampilan dekat seorang gadis dari belakang sedang bermain game di layar.,Kamera merekam ini dengan sengaja selama pertandingan.,1
seorang pemuda dengan kemeja bergaris hitam bermain skateboard di dinding.,Pemain skateboard masih muda.,0
Seorang pria bertudung hitam melompati batang kayu.,Seorang pria berkerudung putih sedang berjalan-jalan.,2
Seekor anjing menangkap Frisbee merah di salju.,Seekor anjing menangkap Frisbee.,0
Seorang pria tua mengenakan jam tangan kemeja tanpa lengan melihat ke depan.,Seorang pria tua memeriksa jam tangannya.,0
Orang-orang menghadiri acara di taman.,Acara di taman adalah karnaval.,1
Seorang berambut cokelat keriting mengenakan jaket bolak-balik hitam dan ungu dan syal panjang berdiri di luar di bawah sinar matahari.,Seorang berambut cokelat berdiri di luar di bawah sinar matahari.,0
Seorang pria berbaju putih melompat ke rerumputan dengan dinding grafiti di belakangnya.,Pria itu sedang tidur,2
"Selama perayaan kecil musim panas, dua orang dewasa memainkan seruling dan tuba.","Di sebuah pesta di pantai, ada dua orang yang sedang bermain band.",1
seekor anjing putih besar melompat ke atas seekor anjing kecil.,Seekor anjing putih menyerang anjing yang lebih kecil.,1
Seorang anak laki-laki Asia menginjak batu di samping sebuah bangunan bata.,Seorang anak laki-laki sedang menginjak batu di luar.,0
Seorang pria bertopi baseball sedang membuat patung seorang pria.,Seseorang memahat salah satu saudaranya.,1
Seorang wanita yang sangat keriput memegang kacamatanya dan berjalan menyusuri jalan kota.,Pria itu memegang kacamatanya,2
Seorang pria muda berrompi dengan rosario berdiri di dekat taksi dan pria muda lainnya dengan kemeja longgar.,Pria itu berdiri di samping bus sekolah.,2
Profil pejalan kaki dengan latar langit biru dan pegunungan.,Seorang pejalan kaki sedang mendaki Mt. Mckinley.,1
"Seorang pria berbaring telentang di salju, mengerjakan sesuatu yang mekanis di atasnya.",pria itu telah berbaring di salju karena dia selesai bekerja,1
Seorang wanita tua yang mengenakan kemeja coklat memberikan presentasi.,Seorang wanita memberikan presentasi yang sangat panjang.,1
Seorang anak kecil bermain sepak bola di taman.,Seorang anak laki-laki sedang bermain.,0
pekerja kota memuat stensil kembali ke truk mereka setelah mengecat tanah.,Pekerja memuat piano ke dalam truk.,2
Orang-orang di gimnasium dalam ruangan yang berdinding biru sedang mengerjakan sepeda.,Orang-orang di gym dengan sepeda.,0
Seorang anak laki-laki berselancar pasir menuruni bukit,Bocah itu berselancar menuruni bukit menuju keluarganya.,1
Seorang wanita yang menarik berjalan di jalan dengan kemeja kuning.,Seorang wanita berbaju kuning berjalan.,0
Sekelompok teman sedang bersosialisasi.,Teman sedang berbicara.,0
Tembikar dan mobil diperlihatkan di tempat parkir dengan seorang pria berpakaian biru sedang bersandar di depan mobilnya.,Seorang pria sedang menjual tembikar di tempat parkir.,1
"Anak-anak di kelas berbaris dengan tangan di punggung satu sama lain, membentuk kereta.",Anak-anak berdiri berbaris saling bersentuhan.,0
Seorang pria berkulit gelap yang mengenakan semacam pakaian tradisional sedang menuangkan biji-bijian ke dalam panci di atas api.,Pria itu sedang memasak gandum,0
Seorang lelaki tua sedang tidur di meja di depan rak buku.,Orang tua beristirahat di dekat beberapa buku.,0
Seorang pria sedang menjual makanan di kios pinggir jalan.,Seorang pria di luar,0
"Seorang pekerja kuburan sedang menggali, atau menimbun kuburan, orang lain sedang asyik dengan ponselnya, bersandar di batu nisan.",Seseorang sedang menggunakan ponselnya.,0
"Seorang pria sedang duduk di sebelah patung pria lain yang duduk, terlihat sangat mirip satu sama lain",Seorang pria berjalan melintasi tempat parkir menuju mobilnya.,2
kacamata hitam duduk di atas meja dengan keluarga di dermaga di latar belakang.,Kacamata hitam itu ada di atas meja,0
Seorang wanita berbaju biru terlihat dalam tas kulit hitam sambil duduk di bangku pada suatu sore yang cerah sementara orang dan limusin lewat di belakangnya.,Seorang wanita sedang menunggu limusinnya sementara dia mencari ponselnya di tas hitamnya di hari yang cerah.,1
Tiga pria botak mengenakan pakaian merah.,Tiga pria botak memakai rambut palsu dan sedang tidur.,2
Sekelompok pria bermain rugby.,Sekelompok pria bersaing memperebutkan tempat untuk kejuaraan rugby.,1
Seorang anak laki-laki kecil melompat dari satu ranjang ke ranjang lainnya.,Seorang anak laki-laki kecil sedang bermain dengan saudaranya.,1
Pria berbaju bergaris itu memegang sebatang rokok di tangannya.,Sebatang rokok dapat dilihat di tangan seorang pria.,0
Seorang pria berambut keriting gelap memainkan gitar di samping mesin Coke.,Pria itu bermain untuk mendapatkan tip di sebelah mesin coke.,1
Dua orang memegang kantong sampah bersiap-siap untuk mengambil puing-puing sementara orang ketiga melihat tas kamera.,Dua orang bersiap-siap untuk mengambil sampah di pantai.,1
Seperangkat aktor dan aktris melakukan pertunjukan.,"Setelah pertunjukan, para pemain menjadi mabuk.",2
Seorang wanita membuat sandwich di toko.,Seseorang sedang memanggang pizza.,2
Seorang anak bermain ski melintasi tanah bersalju.,Seorang anak belajar bermain ski.,0
Dua kendaraan putih diparkir di depan Ruby.,Kendaraan putih itu adalah Toyota.,1
Seorang penggemar alpine sedang melihat ke bawah jalan setapak.,Seseorang berada di puncak gunung di musim dingin.,1
Seorang pria menyemprot lukisan kanvas.,Seorang seniman sedang memahat marmer.,2
Seorang pria berjalan di belakang truk merah di dekat etalase.,Pria itu menjual peralatan bedah.,2
Penonton berdiri di belakang barikade logam sementara seorang pria Asia dan seorang pria kulit hitam mengenakan pakaian biarawati dan sepatu tenis merah berlarian di jalan.,Orang-orang menyaksikan dua pria berlari di jalan.,0
Wanita muda menyeberang jalan.,Ada wanita di jalanan.,0
Seorang wanita India berpenampilan Amerika Selatan membawa keranjang dan seorang anak kecil.,Wanita itu mengendarai sepeda dengan seorang anak.,2
Anak laki-laki menunggang kuda.,seorang anak laki-laki memimpin seekor kuda,1
Adegan jalanan kota eropa dengan jalur troli di jalan raya dan menara jam katedral di latar belakang.,Di tengah kota.,0
Seorang pria memainkan bagpipe dengan pakaian tradisional sambil berjalan menyusuri jalan batu yang basah.,Seorang pria di Skotlandia.,1
Seorang Asia duduk di samping dua karung kain besar.,orang asia sedang berenang dengan teman-temannya,2
Taksi kuning New York melewati seorang wanita dengan payung.,Sopir taksi akan pulang setelah seharian bekerja.,1
Seekor anjing melompat untuk bola kuning dan hitam.,Anjing itu memiliki berat 20 pon.,1
Seorang pria muda memainkan gitar bertubuh hijau bernyanyi ke mikrofon.,Pria itu sedang memainkan drum.,2
"Beberapa gadis muda berdiri dalam kelompok, beberapa dengan tangan saling berpelukan.",Gadis-gadis itu duduk di sofa.,2
Dua pria berkemeja hitam sedang berbicara di sekitar kamera video.,Dua pria sedang mengendarai sepeda.,2
Sekelompok siswa pencak silat berseragam hitam berlatih tangan kosong.,Para siswa seni bela diri hampir tidak mengenakan apa-apa.,2
Seorang anak berhelm terlempar ke tanah oleh seekor domba dengan badut rodeo mengenakan topi koboi hitam berlari di belakang mereka.,Bocah yang dirobohkan di rodeo sedang berlari.,0
Sebuah pesawat baling-baling klasik terbang di kejauhan saat dua pria bermain dengan pesawat mainan yang dikendalikan dari jarak jauh di sebuah lapangan di latar depan.,Dua pria sedang bermain dengan pesawat remote control yang mereka kumpulkan.,1
Traktor kuning duduk di lereng bukit.,Sebuah traktor duduk rusak.,1
Seorang pria muda yang tampaknya berusia akhir 20-an atau awal 30-an sedang tersenyum saat hendak menggigit sandwich.,Pria itu sedang makan sandwich daging sapi panggang.,1
